name,description
Blue Smoke,"Lively, jazzy atmosphere; barbecue focus; diverse crowd; blues music."
El Vez and Burrito Bar,Modern takes on Mexican favorites served in a flashy space with vibrant colors & a lively bar.
Liberty Bistro,Upscale French restaurant inside the Le District food hall with a raw bar & terrace seating.
Le District,"This massive French food hall has upscale restaurants, markets & stations for prepared foods."
Tartinery Café - Bar | Hudson Eats,Hudson Eats counter with open sandwiches on rustic bread & gourmet toppings plus salads & desserts.
Tartinery - The Shack (Summer),"Trendy, vibrant, outdoor spot with chill vibes, eclectic tunes, diverse crowd."
Seamore's Brookfield Place,"Relaxed eatery serving sustainable seafood plus beer, wine & cocktails in bright, beachy digs."
Sant Ambroeus Brookfield,"Stylish Italian restaurant with a bar, private dining, and event space."
Metropolis by Marcus Samuelsson,"Vibrant upscale bar, eclectic decor, soulful music, diverse professional crowd."
FlashDancers Downtown,"Energetic atmosphere, diverse crowd, modern vibe, club hits, upscale adult entertainment."
Benares,"Vibrant, elegant ambiance, lively Bollywood beats, diverse upscale clientele."
CUT by Wolfgang Puck,"Part of Wolfgang Puck's international steakhouse group, featuring a dining room and lounge."
Monk McGinns,Bi-level bar serving elevated pub grub & craft beer in a rustic-chic space with sports on TV.
Boss Tweeds,"Lively, rustic bar with rock music attracting a young crowd."
Brickyard Craft Kitchen & Bar,"Casual vibe, diverse crowd, upbeat music, craft beers, relaxed dining, lively."
Oculus Beer Garden,"Chill locale serving craft beers, wine & hard seltzers, plus snacks like grilled cheese & pretzels."
Five & Dime Coffee & Cocktails,"Retro-chic bar with eclectic crowd, indie music, cozy coffeehouse vibe."
icca,"Cozy, intimate bar with jazz music, attracting diverse professionals and artists."
Apotheke Chinatown,Mixologists in pharmacist-style garb whip up complex cocktails at this off-the-beaten path hideaway.
Blue Agave Pulquería NYC | Mexican Restaurant & Agave Bar,Underground Mexican joint offering creative cocktails plus nibbles like tacos.
Peachy's,"Chic lounge under Chinese Tuxedo restaurant offering craft cocktails amid funky, retro Asian decor."
Golden Unicorn,"Massive, bustling Cantonese mainstay ferrying a wide variety of dim sum via fast-moving carts."
Mr. Fong's,"Unassuming watering hole featuring Chinese-inspired cocktails & bar bites, plus a jukebox."
Marble Lane Karaoke,"Lively atmosphere, energetic vibe, pop hits, mixed-age crowd, stylish decor."
Winnie’s Bar,"Cozy, vintage, relaxed vibe; jazz music; diverse, friendly crowd."
Dali NYC,"Artsy atmosphere, eclectic vibe, Latin music, young professionals."
Cellar 36,"Intimate, moody basement bar; jazz music; artsy crowd; relaxed vibes."
Bacaro,"Cozy, candlelit, Italian-inspired ambiance; offers jazz tunes for chic patrons."
Asoko,"Intimate, lively bar with eclectic music; diverse crowd, relaxed atmosphere."
FMN General Store,"Chill atmosphere, hipster vibe, indie music; attracts young, creative crowd."
Parcelle Chinatown,"Trendy, intimate, low-lit; eclectic music, upscale crowd, sophisticated vibe."
Le Dive,"Hip wine bar offering sidewalk seating & small plates, including oysters & ricotta with honey."
Little Canal,"Comfy counter-serve outpost offering coffee drinks, pastries, light fare & sandwiches."
169 Bar,"Bar with palm trees, a leopard-print pool table & a small menu of oysters, borscht & dumplings."
Abigail's Kitchen,"Cozy, laid-back bistro with Franco-American dishes plus cooking classes & blindfolded-dining events."
Les Enfants de Bohème,"Cozy, urban cafe with wall murals & locally sourced French bites, plus weekend brunch & happy hours."
Eastwood,"Hip, cozy bar with eclectic music, diverse crowd, and relaxed vibe."
The Dancer,"Energetic atmosphere, lively crowd, electronic music, vibrant lighting, young professionals."
Ernie’s Wine Bar,"Intimate, eclectic wine haven; jazz playlists; mature, sophisticated crowd; cozy."
The Woods,"relaxed atmosphere, hip vibe, diverse music, young crowd."
FREEHOLD,"Lively bar, modern-industrial decor, house music, young professionals, trendy atmosphere."
Bevvy Spot,"Chic speakeasy vibes with eclectic music, attracting trendy young professionals."
Guevara's,"Vibrant, eclectic bar; Latin music; youthful crowd; lively ambiance."
Mekelburg's,"Down-to-earth comfort-food eatery serving hot & cold sandwiches, plus wings, cocktails & craft beer."
Edda,"Edda offers Scandinavian elegance, laid-back vibe, indie music, young professionals."
Oh Boy Supply & Record Cafe,"Chill, vintage decor, eclectic vinyls, indie tunes, diverse, laid-back crowd."
Miss Favela,Rio de Janeiro's festive air comes to Brooklyn via traditional Brazilian cuisine & colorful decor.
Simple,"Chill vibes, minimalist decor, indie music, diverse crowd, relaxed ambiance."
Sunday In Brooklyn,"Atera alum's American restaurant with a marketplace, barroom & upstairs dining room & garden."
Antidote,"Trendy, vibrant cocktail bar with eclectic music, diverse, young-professional crowd."
Nicky’s Unisex,"eclectic, vibrant, inclusive; diverse crowd, indie beats, creative atmosphere."
With Others,"Trendy spot, vibrant energy, eclectic music, diverse crowd, socializing hotspot."
Layla,"Chic bar with jazzy vibes, sophisticated crowd, dim lighting, eclectic decor."
Keg & Lantern Southside,"Lively sports bar with classic rock, craft beers, diverse and energetic patrons."
Maison Premiere,"Oysters, cocktails & small plates in a New Orleans-styled setting with an atmospheric garden."
DuMont Burger,"Casual neighborhood brasserie serving local craft beers, noteworthy burgers, sandwiches & sides."
Iona,"Cozy, rustic bar with eclectic music attracting a diverse crowd."
Tabaré Williamsburg,"Rustic-chic space with a patio for Uruguayan fare, only accepts cash or Amex."
Lucky Dog,"Laid-back, dog-friendly, eclectic mix, indie tunes, young professionals."
Beats Karaoke Cafe,"This rustic-modern karaoke spot with private rooms serves beer, sake & soju, plus Asian bar bites."
Caribbean Social Club,"Laid-back, vibrant Caribbean ambiance, reggae beats, diverse crowd, welcoming atmosphere."
Horses and Divorces,"Cozy, nostalgic atmosphere; indie music; diverse, artsy crowd."
The Rusty Face,"Cozy dive bar with vintage decor, rock music, welcoming neighborhood crowd."
Old Man Hustle Bar,"Cozy dive with eclectic décor, indie music, diverse crowd, relaxed vibe."
320 Club,"Lively atmosphere, vintage decor, indie music, diverse young crowd."
Super Burrito,"Vibrant vibe, Latin beats, eclectic crowd, casual atmosphere, top-tier burritos."
Fette Sau,"Popular dry-rub BBQ, beer & bourbon purveyor with an industrial, cafeteria-style decor & wall mural."
The Commodore,"Fried chicken, biscuits & other Southern dishes in a low-key saloon where you order at the bar."
Full Circle Bar,"Comfortable destination featuring local beer & Prosecco on tap, as well as Skee-Ball."
Banter Bar,Beer-loving soccer fans favor this pub for its big brew selection & televised Euro football matches.
St. Mazie Bar & Supper Club,"Funky bar with frequent live music, an outdoor area & a downstairs restaurant with a compact menu."
Maracuja,"Cozy East Village spot, vintage decor, eclectic music, young crowd, relaxed atmosphere."
Have & Meyer,"Cozy, rustic wine bar with eclectic tunes; attracts artistic, relaxed crowd."
Midway,"Lively bar with retro vibe, eclectic music, attracting diverse young professionals."
la milagrosa,"Bar hidden behind a deli, from the owner of Cerveceria Havemeyer, offering mezcal, ceviche & music."
Clem's,Nothing-fancy corner tavern serving beer & other drinks in a narrow space with outdoor seating.
Jackbar,"Retro arcade bar with pinball, rock music, and diverse, laid-back crowd."
Nightmoves,"Trendy bar, eclectic vibes, live jazz, young professionals, cozy ambiance."
The Four Horsemen,"Trendy, intimate wine bar; eclectic music; youthful, diverse, sophisticated crowd."
Chino Grande,"Lively, vibrant Latin bar with salsa music, diverse crowd, energetic ambiance."
Femme Fontaine BK,"Chic, artsy bar with eclectic music, inclusive vibe, diverse crowd."
The Quarter Club,"Chic, intimate bar with jazz, craft cocktails, and diverse crowd."
For All Things Good Williamsburg,"Chic, vibrant Latinx spot with chill vibes, eclectic music, diverse clientele."
Recette,"Chic, cozy French bistro; relaxed atmosphere, eclectic tunes, mixed crowd."
Leo,"Cozy, vintage decor, jazz music, relaxed atmosphere, diverse, young professionals."
Cerveceria Havemeyer,"Cozy cantina with communal tables offering Mexican fare made for sharing, plus house margaritas."
Savoi Latin Bistro,"Sophisticated atmosphere, vibrant Latin music, lively crowd, diverse demographic, delicious cuisine."
Golden Years,"Retro-themed bar, vibrant atmosphere, 80s music, diverse crowd, nostalgic vibe."
CANTINA 138,"Lively, vibrant bar with Latin beats attracting young, diverse crowd."
Bar Madonna,"Cozy speakeasy, eclectic music, vintage decor, diverse patrons, lively vibes."
The MOUTH Kitchen + Bar,"Trendy, lively atmosphere; eclectic cuisine; indie music; diverse, young professional crowd."
Brooklyn Art Haus,"Chill ambiance, diverse crowd, eclectic music, art-focused, and creatively inspiring."
We Got Company,"Cool watering hole with outdoor seats doling out snacks, signature cocktails & draft beer."
Rocka Rolla,"Lively dive bar with rock music, relaxed vibe, diverse patrons."
Eddie Jr's SPORTS LOUNGE,"Lively sports bar, energetic vibe, diverse crowd, upbeat music, casual atmosphere."
Aliya,"Sleek, modern NYC bar with eclectic music; attracts young professionals."
GERTIE,"Colorful Jewish diner serving bagels and babka, plus boozy sodas."
Metropolitan,"Trendy ambiance, eclectic crowd, indie music, relaxed atmosphere, diverse patrons."
Alligator Lounge,"Budget drinks come with free pizza as well as karaoke, pool & Skee-Ball at this no-frills bar."
Zona Rosa,Creative Mexican eats served in industrial quarters with an Airstream-trailer kitchen & rooftop bar.
Macri Park,"A laid-back, dimly lit watering hole with cozy interior decor & a big backyard."
Beer Karma,"Low-key place to sample a rotating selection of craft beers in bottles, cans or on tap."
Kini wine bar,"Cozy, intimate setting; soulful jazz tunes; diverse crowd; sophisticated atmosphere."
Montesacro Brooklyn,"Pinsa, a traditional flatbread, headlines a menu of Roman classics made in an open kitchen."
H&H Reserve,"Chic bar with vintage vibe, jazz music, caters to professionals."
Pomp and Circumstance,"Elegant craft cocktail lounge with vintage decor, jazz music, mixed demographic."
Birreria,"Rooftop beer garden, lively atmosphere, mix of young professionals, diverse music."
Ainslie,"Lively spot with rustic charm, eclectic beats, diverse crowd."
Northern Bell,"Resto-bar with a dark-wood interior & patio for Southern dishes, burgers & craft beers."
L & P Wines & Liquors Inc,"Intimate, relaxed spot with eclectic wines, soft jazz, and diverse patrons."
Sage,"Chic, relaxed bar with jazz music; attracts young professionals, creatives."
Tuffet,"Bar pairing craft drinks with meat & cheese plates, plus a fireplace-equipped patio."
ORE BAR,"Popular, rustic bar serving draft beer, wine & cocktails, plus weekend DJs & dancing."
Basik,"Sleek, simple tavern with a garden patio showcasing craft cocktails & upscale bar bites."
Here Bk,"Trendy, lively bar with eclectic music, diverse crowd, cozy ambiance."
Easy Lover,"Chic, laid-back bar; vibrant atmosphere; eclectic music; diverse, young crowd."
Common Mollies,"High-energy venue for classic pub grub & creative mixed drinks, plus weekend DJ sessions."
Viva Toro,Lively Williamsburg bar/restaurant with Mexican-Dominican dishes & a party atmosphere.
The Less Dead,"Intimate bar with eclectic indie music, diverse patrons, and relaxed ambiance."
Grimm Artisanal Ales,"Eclectic brewery, relaxed vibe, indie music, diverse crowd, artisanal ales."
PUMPS,"gritty dive bar, loud rock music, lively, diverse patrons, energetic."
Mansions,"Chic, upscale bar with house music, trendy young professionals, lively ambiance."
ECB,"Trendy spot, relaxed atmosphere, indie music, diverse crowd, cozy ambiance."
VIXEN,"edgy sophisticate bar, eclectic music, vibrant lights, trendy crowd."
Black Hound Bar & Lounge,"Intimate, contemporary speakeasy offering elevated bar bites, local brews & specialty cocktails."
Mezze on the River,"Mediterranean dishes and seafood in an airy restaurant with Hudson River views, plus 2 terraces."
Sixpoint Brewery At Brookfield Place,"craft beer, lively atmosphere, industrial chic, diverse crowd, upbeat music."
O'Hara's Restaurant and Pub,"Both locals & visitors come for cold pints plus burgers, wings & bar food in a neighborhood spot."
Eataly NYC Downtown,"Bread-themed branch of the famed Italian market, offering counters, restaurants, and cooking demos."
The Cloud One Lounge New York-Downtown,"Chic rooftop bar, modern vibe, DJ music, youthful, trendy, skyline views."
Skinos,"Skinos offers vibrant vibes, Mediterranean music, diverse crowd, and chic atmosphere."
Le Bar,"Sophisticated vibe, ambient jazz, dim lighting, young professionals' haunt."
The Irish American Pub,"Inviting Irish pub with an American twist offering hearty bar food, draft beer, TVs & a game room."
Nobu Downtown,Famed Japanese-Peruvian fare in a landmark space with an artful lounge & downstairs dining room.
La Parisienne,"Cozy, chic ambiance, French tunes, sophisticated crowd, vibrant nightlife."
Okelisa,"Cozy, intimate, jazz vibe, diverse crowd, upscale, warm ambiance."
Carragher's,"Burgers, sandwiches & other American eats served in a wood-accented sports pub with a soccer theme."
Hide Rooftop,"Stylish rooftop bar, lively atmosphere, curated playlists, chic young professionals."
Recreation,"Lively NYC bar with eclectic décor, hip-hop beats, diverse crowd."
Temple Court,American restaurant by Tom Colicchio in the landmark Beekman Hotel with a sumptuous design.
Da Claudio,This white-tiled Italian bar offers small plates & higher-end entrees to go with wine & cocktails.
Nassau Bar,"Snug, old-school watering hole with bikini-clad bartenders doling out cocktails."
WXYZ Bar,"Trendy bar with upbeat vibes, electronic music, young professional crowd."
W XYZ Bar and Lounge at Aloft Manhattan Downtown,Cocktails & bar snacks are served at this modern hotel lounge featuring a pool table & happy hour.
Bar Room at the Beekman,"Elegant bar with vintage decor, jazz music, upscale clientele, sophisticated ambiance."
Laissez Faire,"chic atmosphere, vibrant vibe, eclectic music, young professionals."
Blue Haven SOUTH,"Energetic sports bar, lively atmosphere, upbeat music, diverse crowd, casual vibe."
Norte,"Cozy, vibrant bar with Latin beats, diverse, lively crowd, energetic."
Maison blanche,"Elegant ambiance, chic vibe, jazz tunes; upscale, diverse clientele."
SaiNuing,"Cozy NYC bar, rustic ambiance, jazz music, diverse young professionals."
Zizi Wine Bar,"Cozy, sophisticated ambiance; jazz tunes; diverse crowd; exquisite wine selection."
TBA Brooklyn,"Atmospheric nightclub & coffeehouse in a former garage featuring music, drinks & various events."
Lavender Lake,Distressed materials add urban flair to this hip bar with a compact beverage list & creative plates.
Rossi's Lounge,"Cozy, intimate, jazz-infused, diverse crowd, vintage decor, relaxed vibe."
Deux Chats,"Trendy, Parisian-inspired bar; chic vibe, jazz music, diverse young crowd."
Bar Milagro,"Lively, vibrant; eclectic music; diverse crowd; cozy yet energetic."
Social House Cafe,"Laid-back hangout serving specialty coffee & elevated brunch fare, plus cocktails."
Diner,"Retro atmosphere, casual vibe, 50s music, diverse crowd, nostalgic."
Marlow & Sons,"Cozy, rustic, artisanal cocktails, indie music, hipster clientele."
Bembe,"DJs, live global music & tropical cocktails inspire dancing & socializing at this lively lounge."
East River Bar,"No-frills barroom with cheap drinks, exposed-brick walls, a pool table & a spacious patio."
OTB,"Casual, energetic bar; diverse crowd; rock music; lively vibe."
Velvet Brooklyn,Cocktails & cigars are featured at this Williamsburg lounge.
Baby's All Right,"Cool haunt offering live music most nights, plus gourmet bar fare, creative drinks & weekend brunch."
Williamsburg Music Center,"Live jazz, vibrant ambiance, diverse crowd, intimate setting, creative energy."
Pájaro Bobo,"Chill ambiance, eclectic music, upscale crowd; trendy NYC bar experience."
Davidoff of Geneva,"Sophisticated cigar bar, elegant atmosphere, jazz music, upscale clientele, refined experience."
Bar Bedford,"Intimate, chic spot; rustic decor; jazz tunes; upscale young professionals."
LilliStar,"Trendy atmosphere, eclectic vibe, diverse music, young professional crowd."
Jolene Sound Room,"Intimate, vibrant bar with eclectic music, cozy atmosphere, and diverse crowd."
Propaganda,"Trendy bar with industrial decor, electronic music, young professional crowd."
Pokito,Creative Latin-Asian cocktails offered in snug surrounds with whitewashed brick walls.
Made 21 Restaurant & Lounge,"Lively NYC bar with upscale vibe, hip-hop beats, diverse crowd."
Domino Wine Bar,"Chic rustic atmosphere, intimate vibe, eclectic music, artsy and diverse crowd."
SilverFactory,"Unassuming, trendy neighborhood bar turning out cocktails, soju & Korean-fusion small plates."
Lighthouse BK | Mediterranean Restaurant & Bar,Out-of-the-way East Williamsburg corner restaurant offering New American fare & a raw bar.
Black Flamingo,"Tropical, vibrant, dance bar with upbeat electronic music; diverse crowd."
Ensenada,"Cozy dive bar, chill vibe, playing diverse tunes, youthful crowd."
The West Brooklyn,"Rustic-industrial hangout doing pastries & sandwiches, a coffeehouse by day, cocktail bar by night."
Ontario Bar,"Cozy, vintage vibe, diverse crowd, indie/rock music, relaxed atmosphere."
Mcondo Los Tacos,Convivial taqueria & bar featuring Mexican pub grub in a casual but stylish setting.
Izakaya Ryujin,"Laid-back, cozy Japanese bar featuring classic & vegan ramen soups, plus small plates."
Abba Bar & Grill,"Cocktails, draft beer & pub grub in a laid-back hangout with large windows & exposed-brick walls."
Redd’s Tavern,"Cozy atmosphere, casual vibe, rock music, mixed-age crowd."
The Clonard,"lively, upscale, modern; energetic crowd, DJ-spun beats, trendy ambiance."
The Whiskey on Grand,"Airy sports bar with cabinlike wooden walls & booths, multiple TVs, beer, cocktails & food."
Limosneros,"Chic, upscale bar with Latin beats, vibrant crowd, sophisticated atmosphere."
"Esports Lounge, Training & Arcade","Chill e-gaming hub with electronic music, youthful crowd, gaming tournaments."
THE LAST CALL,"Intimate, cozy bar; mellow jazz; diverse, relaxed crowd; nostalgic vibe."
Bushwick Country Club,"Ironically named bar featuring cheap drinks, a photo booth & a six-hole mini-golf course."
Blue Angel Wines,This shop displays wines from small producers on rustic wood shelves. Delivery offered.
Lady Jay's,"Rustic, lively dive bar, country music, eclectic crowd, vibrant atmosphere."
The Starlight Tavern,"A diverse menu of steaks, entrees & snacks served in a clubby atmosphere with Skee-Ball."
Desy's Clam Restaurant,"Basic venue presenting pasta, seafood & specialty heros, along with salads & other veggie options."
Medusa Bar Bk,"Eclectic vibe, diverse crowd, indie tunes, cozy ambiance."
Blinky's,"Snug tavern offering approachable cocktails, craft beers & regular events, plus outdoor space."
Crystal Lake Brooklyn,"Retro, cozy, eclectic vibes, vinyl music, diverse young professionals."
Haven,"Trendy, relaxed atmosphere, eclectic music, diverse crowd, artsy NYC bar."
Ammazzacaffè,Relaxed storefront serving lesser known Italian pastas & small plates plus wine & backyard seating.
The Anchored Inn,"Local bar with craft beer & shots, Mexican-American pub food & funky decor such as velvet paintings."
Social Cues B.S.A.,"Cozy, upbeat bar with indie music, diverse crowd, casual atmosphere."
LoHi,"Cocktails & craft beers, plus finger foods served at an intimate joint featuring a rooftop terrace."
"Brooklyn Greens Golf, LLC","Lively, upscale golf-themed bar, mixing electro beats, diverse professional crowd."
Our Wicked Lady,"Industrial-chic venue of rehearsal space, art studios & rooftop bar with live music, films & snacks."
Tu mama bar and grill,"Lively bar with Latin beats, vibrant atmosphere, diverse young crowd."
SILO,"Cozy speakeasy, jazz ambiance, dim lighting, craft cocktails, diverse clientele."
Honey's,"Industrial-chic bar, cozy atmosphere, eclectic music, creative cocktails, mixed crowd."
Elsewhere,Massive venue featuring several spaces (including a roof terrace) for live music & DJ nights.
Zone One,"Energetic, trendy NYC bar; upbeat music; young professionals; vibrant."
Bushwick Triangle,"Eclectic, artsy, indie music, diverse crowd, vibrant, trendy atmosphere."
63 Bar,"Lively dive bar, retro vibes, rock tunes, diverse local crowd."
Willows Tavern,"Cozy atmosphere, vintage vibe, jazz music, diverse crowd, speakeasy-style charm."
Fresh Pond Cocktail Club,"Chic, relaxed atmosphere; DJs spinning jazz; attracts young professionals; upscale crowd."
Trinity Place,American eatery set in a converted bank vault with original vault doors dating to 1904.
"Wogies Bar & Grill, FIDI","Casual vibe, sports-centric, diverse crowd, rock music, hearty American food."
Cat sports pub,"Lively sports bar, vibrant atmosphere, rock music, diverse patrons, spirited camaraderie."
Alexander Hamilton Tavern,"cozy, vintage, jazz tunes, diverse crowd, historical charm, inviting."
Half Moon Bar & Grill,"Lively dive bar, rock music, diverse crowd, relaxed atmosphere, late-hours."
Schilling Restaurant & Bar,Austrian-Mediterranean food in a space with communal and banquette seating.
Manhatta,"Set on the 60th floor, this ritzy, high-end restaurant features New American cuisine and city views."
The Press Room,"Sophisticated, jazzy bar with a relaxed vibe; attracts professionals and creatives."
Pi Bakerie,"Chic Greek bakery vibe, relaxing atmosphere, jazz music, diverse patrons."
Kesté Pizza e Vino,Neapolitan wood-fired pizzas with vegan & gluten-free options doled out in a shoebox-sized space.
Felice 15 Gold,Sleek outpost with warm leather & wood decor offering Tuscan fare & a long list of Italian wines.
Ryan Maguire's Bar & Restaurant,A full menu of American eats & plenty of beer is on tap at this Irish-style tavern.
Giardino D'Oro,"Upscale, stone-walled trattoria specializing in traditional Italian recipes."
T.J. Byrnes Bar & Restaurant,"Unassuming pub with a dining room featuring an Irish-American menu, weekend brunch & weekly karaoke."
Highkey Rainforest Rooftop,"Lush, tropical rooftop bar; energetic vibes, eclectic music; young, trendy crowd."
GOLDEN WUISH (THE DUCKHOUSE),"Trendy bar with eclectic music, dim lighting, and youthful crowd."
Hey Thai,"Cozy Thai bar, laid-back vibe, eclectic music, diverse young crowd."
Cedar Local,"Warmly lit bar with creative cocktails plus craft beer, happy hour & bar bites."
Jeremy's Ale House,"Rustic NYC dive bar with lively crowd, rock music, and cheap drinks."
The Paris Café,"Historic, cozy bar; lively vibe; classic rock music; mixed-age crowd."
Fresh Salt,"Neighborhood watering hole with craft ales, sandwiches & snacks, plus daily happy hour specials."
Fish Market,"lively, nautical-themed bar with eclectic music, diverse crowd."
The Hideaway Seaport,"Updated pub grub, cocktails & NY craft brews served in a bi-level venue with brick-lined walls."
The Garden Bar,"Lively garden bar, relaxed vibe, indie music, diverse young crowd."
Osteria Del Porto,"Intimate atmosphere, trendy vibe, live jazz music, diverse young professionals."
The Tuck Room,Convivial speakeasy serving inventive cocktails & sophisticated small plates in a relaxed space.
Chase Sapphire at the Seaport,"Chic waterfront bar, trendy atmosphere, live jazz, upscale crowd, scenic views."
The Little Shop,"Cozy, eclectic bar; vintage décor, indie music, diverse, youthful crowd."
McNally Jackson Coffee & Wine Bar,"Cozy, literary-themed, eclectic mix, soft jazz, intellectual crowd, relaxed vibe."
Duff's,"South Williamsburg heavy-metal bar, with horror/biker memorabilia & a unique jukebox."
Shalom Japan,"Jewish & Japanese flavors fused together in creative small plates offered in a small, low-key space."
LORA SPORTS BAR,"Energetic sports ambiance, diverse crowd, upbeat music, lively atmosphere."
Masquerade,Iranian-style small plates & signature cocktails in a trendy tapas bar with a rear garden.
Fiction Bar/Cafe,"Quaint spot with yesteryear decor, premium coffee drinks, clever bar concoctions & live music."
Nyla Cafe,"Cozy, eclectic vibe, diverse patrons, chill music, trendy atmosphere."
The Rosemont,"Laid-back cocktail bar with live jazz, small plates, craft beers & a garden patio."
duckduck,"Intimate, laid-back bar, eclectic decor, indie music, diverse crowd."
The Graham,"Chill vibe, indie music, eclectic crowd, cozy atmosphere, top-notch cocktails."
Emblem,"Trendy, welcoming bar with indie music and diverse, vibrant crowd."
Sweet Science,Dim lighting & subway tiled-walls create a cool vibe at this eatery known for its burgers & big bar.
Eris,"Eclectic atmosphere, avant-garde vibe, diverse music, youthful eclectic crowd."
Hi Hello Crepes,"Cozy, intimate bar with indie music, artful decor, young crowd."
Pizzette,"Cozy, vibrant bar; rustic decor; indie tunes; young, diverse crowd."
Win Son Bakery,Laid-back neighborhood spot serving inventive twists on Taiwanese classics for brunch & dinner.
Marcela's Tapas & Fusion Cuisine,"Lively ambiance, Latin jazz, diverse crowd, fusion tapas, warm decor."
Tradesman,"Quaint, rustic pub with intricate wood decor offering microbrews, mixed drinks & weekend brunch."
Sleepwalk,"Trendy NYC bar, chill atmosphere, indie music, hipster crowd."
Pink Metal,Cocktails & bar bites in a brightly decorated space featuring burlesque shows & a heated patio.
Post No Bills,"Narrow, relaxed bar with simple selection of draft & can beers, wine, classic cocktails & shots."
3 Dollar Bill,"Energetic, late-night gay bar with high-tech appointments, basic furnishings & varied performances."
Now And Then NYC,"Laid-back bar with retro vibe, eclectic music, diverse crowd, cozy ambiance."
Social Cues The Garden,"Trendy oasis, relaxed vibe, live jazz, eclectic crowd, Garden District."
Wandering Barman,"Trendy, intimate spot with craft cocktails, chill ambiance, and diverse crowd."
Aura Cocina,Modern Cuban Asian fusion fare is served in a hip space with a living wall & coastal hues.
Bushwick Ice House,"Trendy, relaxed bar with eclectic music; attracts diverse, artsy crowd."
About Last Night,Chic atmosphere; vibrant vibe; eclectic music; stylish crowd; late-night hotspot.
The Rose Lounge,"Basement nightclub with striking visuals, cocktails, DJs & a dance floor."
Falansai,"Warehouse-chic spot with communal tables, creative Vietnamese dishes with a French twist & wine."
Little Beaver,Hip hangout with outdoor seating fixing up beer & cocktails in a laid-back setting.
Pearl's Social & Billy Club,A tattooed crew runs this corner bar serving draft beers & Mason-jar cocktails to a local crowd.
House of Yes,"Funky venue showcasing dance, circus, theater & cabaret performances in a former ice warehouse."
Union Pizza Works,"Stylish outfit serving wood-fired pies, salads & unique wines in a garage-like space with a patio."
Artichoke Basille's Pizza,"Lively, casual pizzeria; chill vibes, eclectic music, mixed-age crowd."
Echo Bravo,"Laid-back restaurant & bar specializing in chicken wings & burgers with fries, plus cocktails."
The Red Pavilion,"Trendy, vibrant atmosphere; eclectic music; diverse crowd; speakeasy vibes; artisanal cocktails."
Nowon Bushwick,"Trendy, energetic bar with hip-hop music, youthful vibe, diverse crowd."
Jupiter Disco,"Hip, sci-fi themed nightspot with a retro feel & neon-lit decor serving creative cocktails."
Cafe Mez,"Cozy, eclectic bar with jazz music, diverse crowd, relaxed atmosphere."
Cocktail Magique Theatre by Company XIV,"Avant-garde bar with burlesque performances, whimsical décor, eclectic music, diverse clientele."
Lovejoys,"Cozy speakeasy, vintage decor, soulful jazz, diverse mature crowd."
The Cobra Club,"Cozy, funky venue that's equal parts coffee shop, bar, performance space & yoga studio."
Brooklyn Beer Garden,"Craft beers & Brooklyn street art are the inspiration behind this funky, seasonal outdoor pop-up."
Vacations BK,"Vacations BK offers a Miami Beach vibe with tropical cocktails and music catered to diverse, trendy patrons."
The Keep,"Vintage vibe, eclectic atmosphere, diverse crowd, live music, bohemian charm."
Daddy’s Bar,"Cozy Brooklyn dive, laid-back vibe, rock music, diverse, welcoming crowd."
Windjammer Bar,This no-nonsense hangout with nautical decor offers a full bar with tropical drinks & a pool table.
Gottscheer Hall,Long-standing tavern serving domestic & imported beers alongside a small menu of German pub eats.
Green Spot Wine & Cafe,"Cozy wine bar, relaxed vibe, jazz music, diverse crowd, intimate setting."
Inatteso Pizzabar,"Compact, modern Italian eatery with a patio serving Neapolitan & pan pizzas & other familiar dishes."
Reserve Cut,High-end kosher steakhouse with a wine room and French-Asian menu that includes sushi and Wagyu beef.
PIZZA ETALIA,"Restaurant with a casual vibe serving generous pies, calzones, and pasta plates."
Toro Loco,"Lively Mexican bar, vibrant atmosphere, energetic Latin music, diverse crowd."
London & Martin Co.,"Chic atmosphere, vintage decor, jazzy tunes, diverse crowd - spirited ambiance."
Beckett's Sports Bar,"Sports on big screen TVs, draft beer & pub food in a historic building that's stood since 1603."
Delmonico's,"Historic, sophisticated atmosphere, classic vibe, jazz music, upscale professional clientele."
Ulysses',"Cozy, lively; classic rock; diverse crowd; ideal for socializing."
Stone Street Tavern,"Stone Street haunt with a decor of dark wood & chandeliers, offering many TVs & a standard bar menu."
Underdog,"Trendsetting bar with vibrant atmosphere, eclectic music, youthful, diverse crowd."
Route 66 Smokehouse,"Lively eatery with exposed brick & outdoor seating, pairing BBQ fare with cocktails & craft beer."
Killarney Rose,Low-key Irish tavern serving pints & a full menu of pub grub to Financial District types.
Joseph's Restaurant,"Intimate, jazzy ambiance; rich decor; soulful tunes; diverse, trendy patrons."
Irish Punt,"Cozy Irish pub, lively vibe, classic rock tunes, diverse crowd, welcoming."
Split Eights,"Contemporary bar serving up a variety of craft cocktails, in addition to wine & beer."
Gran Vía,"Upscale, lively ambiance; Latin music; trendy crowd; immersive, vibrant atmosphere."
Harry's Side Bar,"Cozy, retro bar with classic rock, diverse clientele, vibrant conversations."
LILLY’S BORDELLO,"Vintage charm, lively vibe, jazz music, mixed crowd."
Rex NY Cigar Club,"Elegant cigar lounge, jazz soundtrack, mature professionals, cozy, sophisticated vibe."
